altitude,ch4_moleratio,ch4_pressure,ch4_qc,ch4_rssi,ch4_temp,computer_time,estimated_heading,frame,gps_fix,heading,heading_available,hpr_type,latitude,log_time,longitude,pitch,rmys_wdir_cf,rmys_wspd2D_cf,roll,spd_over_grnd,true_track,true_wdir,true_wspd,wdir_cf_corrected,wspd_cf_corrected,system_id
758.4,1.96645,93.3364,1,54.5789,18.3993,2018-07-04T11:25:10Z,120.22,46724,1,120.22,1,N,51.4805948916667,4390.342289,-113.070166648333,-3.88,157.7,17.79,-2.8,15.2861111111111,120.77,26.2882901882483,4.05400731636618,-14.5591936283394,15.5053342456544,pomelo_1
758.1,1.96482,93.3698,1,54.6495,18.4513,2018-07-04T11:25:11Z,120.35,46734,1,120.35,1,N,51.4805337,4391.279928,-113.070000956667,-3.58,151.2,15.26,-0.1,14.4944444444444,120.56,4.34155373403104,4.97826110806699,-19.7531101835426,13.0810828667519,pomelo_1
758,1.98105,93.3751,1,54.3872,18.4011,2018-07-04T11:25:12Z,120.16,46744,1,120.16,1,N,51.4804699616667,4392.217493,-113.069827406667,-2.58,157,14.83,0.1,13.6361111111111,121.06,11.931214810645,3.76841350283629,-15.1185384881305,12.9021901980774,pomelo_1
758.1,1.98607,93.3563,1,54.5004,18.1118,2018-07-04T11:25:13Z,119.69,46754,1,119.69,1,N,51.48041567,4393.161053,-113.069678716667,-2.32,161.5,13.8,0.5,13.0611111111111,119.74,4.90506191826167,2.69066275127457,-11.5165788607408,12.1783308075884,pomelo_1
758.1,1.98467,93.3992,1,54.3532,17.9896,2018-07-04T11:25:14Z,120.01,46764,1,120.01,1,N,51.4803576083333,4394.110631,-113.069520065,-2.57,155,11.65,-0.4,12.3944444444444,120.87,348.459885093442,4.12425494489379,-16.7166666589623,10.083681371667,pomelo_1
758.1,1.97696,93.4021,1,54.4964,18.2235,2018-07-04T11:25:15Z,120.49,46774,1,120.49,1,N,51.4803072483333,4395.048231,-113.06938544,-2.5,152.3,11.35,1.6,12.0222222222222,120.91,349.796248336515,4.2789032919616,-18.8741396895851,9.75658427307003,pomelo_1
758.1,1.97918,93.4174,1,54.5616,18.3598,2018-07-04T11:25:16Z,121.78,46784,1,121.78,1,N,51.48025816,4395.985833,-113.06925477,-2.17,147.1,10.07,-4.7,11.6027777777778,122.09,347.296068828635,5.39529244253937,-25.8305024537693,8.6903570427966,pomelo_1
758.4,1.9783,93.3986,1,54.4367,18.2019,2018-07-04T11:25:17Z,122.95,46794,1,122.95,1,N,51.480201635,4396.923433,-113.069116193333,-1.16,153.6,11.72,-3,11.4361111111111,123.52,3.48610139343118,3.68647699454065,-17.8353563785445,10.1080460156645,pomelo_1
758.8,1.98798,93.4051,1,54.3775,17.9726,2018-07-04T11:25:18Z,123.32,46804,1,123.32,1,N,51.4801507066667,4397.860411,-113.068996728333,-0.4,148.8,10.68,1,10.9305555555556,124.61,0.437746730351406,4.57568277942356,-23.0714787485516,9.17763937909892,pomelo_1
759.3,1.98788,93.418,1,54.4553,17.9514,2018-07-04T11:25:19Z,123.1,46814,1,123.1,1,N,51.48009783,4398.798012,-113.06887136,-0,151,8.08,2.8,10.2444444444444,123.57,336.274339850857,4.46258492121948,-19.9129230006258,6.92277764845349,pomelo_1
759.7,1.98351,93.4162,1,54.4344,18.0285,2018-07-04T11:25:20Z,122.85,46824,1,122.85,1,N,51.4800539466667,4399.735613,-113.068766788333,0.54,152.5,7.07,4,9.38333333333333,123.36,332.159922254407,4.15592053735318,-18.7143268725019,6.08054100223015,pomelo_1
760.2,1.97456,93.4009,1,54.4056,18.1772,2018-07-04T11:25:21Z,122.2,46834,1,122.2,1,N,51.4800134666667,4400.673213,-113.068668198333,1.12,152.2,7.29,4.8,8.92222222222222,123.15,338.279261662164,3.70663667087645,-18.9540460981268,6.2649711377918,pomelo_1
760.8,1.98201,93.4009,1,54.389,18.2334,2018-07-04T11:25:22Z,121.21,46844,1,121.21,1,N,51.479972375,4401.617991,-113.068564176667,1.53,153.1,7.69,4.2,8.35555555555555,122.15,348.17476538886,3.02322168967953,-18.2348884212524,6.62387958628407,pomelo_1
761.4,1.97754,93.4004,1,54.4701,18.2747,2018-07-04T11:25:23Z,120.45,46854,1,120.45,1,N,51.4799381066667,4402.571219,-113.068474666667,1.73,148,7.53,4,7.93611111111111,121.39,354.574714982976,3.46236560785669,-24.3698428451247,6.48370988277372,pomelo_1
762,1.98083,93.4009,1,54.4065,18.2858,2018-07-04T11:25:24Z,119.5,46864,1,119.5,1,N,51.4799024416667,4403.50882,-113.06837848,1.99,145.5,5.62,4.4,7.53888888888889,120.07,335.814633837799,4.04094328675073,-28.4272306469156,4.86957841636784,pomelo_1
